,movie_id,start_year,genres,averagerating,numvotes,title,studio,domestic_gross,foreign_gross
0,tt0337692,2012,"Adventure,Drama,Romance",6.1,37886,On the Road,IFC,744000,8000000
1,tt4339118,2014,Drama,6.0,6,On the Road,IFC,744000,8000000
2,tt5647250,2016,Drama,5.7,127,On the Road,IFC,744000,8000000
3,tt0359950,2013,"Adventure,Comedy,Drama",7.3,275300,The Secret Life of Walter Mitty,Fox,58200000,129900000
4,tt0365907,2014,"Action,Crime,Drama",6.5,105116,A Walk Among the Tombstones,Uni.,26300000,26900000
5,tt0369610,2015,"Action,Adventure,Sci-Fi",7.0,539338,Jurassic World,Uni.,652300000,1019
6,tt0372538,2011,"Action,Crime,Drama",6.6,78,Spy,Fox,110800000,124800000
7,tt3079380,2015,"Action,Comedy,Crime",7.0,213908,Spy,Fox,110800000,124800000
8,tt0376136,2011,"Comedy,Drama",6.2,94787,The Rum Diary,FD,13100000,10800000
9,tt0383010,2012,"Comedy,Family",5.1,28570,The Three Stooges,Fox,44300000,10500000
10,tt0398286,2010,"Adventure,Animation,Comedy",7.8,366366,Tangled,BV,200800000,391000000
11,tt0401729,2012,"Action,Adventure,Sci-Fi",6.6,241792,John Carter,BV,73100000,211100000
12,tt0409847,2011,"Action,Sci-Fi,Thriller",6.0,195889,Cowboys & Aliens,Uni.,100200000,74600000
13,tt0427152,2010,Comedy,5.9,91546,Dinner for Schmucks,P/DW,73000000,13800000
14,tt0429493,2010,"Action,Adventure,Thriller",6.8,235256,The A-Team,Fox,77200000,100000000
15,tt0431021,2012,"Horror,Mystery,Thriller",5.9,53649,The Possession,LGF,49100000,36300000
16,tt0433035,2011,"Action,Drama,Family",7.1,283534,Real Steel,BV,85500000,213800000
17,tt0435651,2014,"Drama,Romance,Sci-Fi",6.5,104999,The Giver,Wein.,45100000,21900000
18,tt0435761,2010,"Adventure,Animation,Comedy",8.3,682218,Toy Story 3,BV,415000000,652000000
19,tt0436230,2010,"Horror,Thriller",6.7,34,The Devil Inside,Par.,53300000,48500000
20,tt1560985,2012,Horror,4.2,33522,The Devil Inside,Par.,53300000,48500000
21,tt0443272,2012,"Biography,Drama,History",7.4,228701,Lincoln,BV,182200000,93100000
22,tt0446029,2010,"Action,Comedy,Fantasy",7.5,339338,Scott Pilgrim vs. the World,Uni.,31500000,16100000
23,tt0448694,2011,"Action,Adventure,Animation",6.6,133355,Puss in Boots,P/DW,149300000,405700000
24,tt0451279,2017,"Action,Adventure,Fantasy",7.5,487527,Wonder Woman,WB,412600000,409300000
25,tt4028068,2014,Sci-Fi,4.2,20,Wonder Woman,WB,412600000,409300000
26,tt4283448,2016,"Documentary,Drama,Sport",6.9,13,Wonder Woman,WB,412600000,409300000
27,tt0454876,2012,"Adventure,Drama,Fantasy",7.9,535836,Life of Pi,Fox,125000000,484000000
28,tt0455407,2010,"Horror,Thriller",6.5,104465,The Crazies,Over.,39100000,15700000
29,tt0455944,2014,"Action,Crime,Thriller",7.2,302302,The Equalizer,Sony,101500000,90800000
30,tt0458339,2011,"Action,Adventure,Sci-Fi",6.9,668137,Captain America: The First Avenger,Par.,176700000,193900000
31,tt0458413,2014,"Comedy,Drama",6.4,29260,A Long Way Down,Magn.,13300,7200000
32,tt0460890,2017,Drama,6.3,8727,The Only Living Boy in New York,RAtt.,624000,1900000
33,tt0464154,2010,"Comedy,Horror",5.4,81327,Piranha 3D,W/Dim.,25000000,58200000
34,tt0470752,2014,"Drama,Mystery,Sci-Fi",7.7,424542,Ex Machina,A24,25400000,11400000
35,tt0471042,2011,"Action,Comedy,Crime",6.2,125102,Tower Heist,Uni.,78000000,74900000
36,tt0472181,2011,"Adventure,Animation,Comedy",5.5,77577,The Smurfs,Sony,142600000,421100000
37,tt0472399,2011,"Action,Crime,Thriller",6.6,141254,The Mechanic,CBS,29100000,47000000
38,tt0473075,2010,"Action,Adventure,Fantasy",6.6,254975,Prince of Persia: The Sands of Time,BV,90800000,245600000
39,tt0475290,2016,"Comedy,Drama,Music",6.3,111422,"Hail, Caesar!",Uni.,30500000,33100000
40,tt0477080,2010,"Action,Thriller",6.8,173019,Unstoppable,Fox,81600000,86200000
41,tt3070502,2013,Documentary,4.3,551,Unstoppable,Fox,81600000,86200000
